0	1 0 1	-1 0 -1	0 0 0	
0.1	0.999 0.015 0.999	-0.999 -0.015 -0.999	-7.96e-06 -5.98e-08 -7.96e-06	
0.2	0.996 0.03 0.996	-0.996 -0.03 -0.996	-6.39e-05 -9.62e-07 -6.39e-05	
0.3	0.992 0.0449 0.992	-0.992 -0.0449 -0.992	-0.000217 -4.91e-06 -0.000217	
0.4	0.986 0.0597 0.986	-0.985 -0.0597 -0.985	-0.000518 -1.57e-05 -0.000518	
0.5	0.978 0.0744 0.978	-0.977 -0.0744 -0.977	-0.00102 -3.91e-05 -0.00102	
0.6	0.968 0.089 0.968	-0.966 -0.089 -0.966	-0.00179 -8.28e-05 -0.00179	
0.7	0.956 0.103 0.956	-0.953 -0.103 -0.953	-0.00289 -0.000157 -0.00289	
0.8	0.943 0.118 0.943	-0.938 -0.117 -0.938	-0.00439 -0.000277 -0.00439	
0.9	0.928 0.132 0.928	-0.921 -0.131 -0.921	-0.00639 -0.00046 -0.00639	
1	0.91 0.145 0.91	-0.901 -0.145 -0.901	-0.00899 -0.00073 -0.00899	
1.1	0.891 0.159 0.891	-0.879 -0.158 -0.879	-0.0123 -0.00112 -0.0123	
1.2	0.87 0.172 0.87	-0.854 -0.17 -0.854	-0.0165 -0.00168 -0.0165	
1.3	0.847 0.185 0.847	-0.825 -0.182 -0.825	-0.0218 -0.00246 -0.0218	
1.4	0.821 0.197 0.821	-0.793 -0.193 -0.793	-0.0285 -0.00355 -0.0285	
1.5	0.794 0.208 0.794	-0.757 -0.203 -0.757	-0.0368 -0.00509 -0.0368	
1.6	0.763 0.219 0.763	-0.716 -0.212 -0.716	-0.0473 -0.00725 -0.0473	
1.7	0.73 0.229 0.73	-0.67 -0.219 -0.67	-0.0607 -0.0104 -0.0607	
1.8	0.695 0.239 0.695	-0.617 -0.224 -0.617	-0.0781 -0.0149 -0.0781	
1.9	0.656 0.247 0.656	-0.554 -0.225 -0.554	-0.101 -0.0218 -0.101	
2	0.613 0.254 0.613	-0.48 -0.221 -0.48	-0.133 -0.033 -0.133	
2.1	0.567 0.26 0.567	-0.387 -0.207 -0.387	-0.18 -0.0529 -0.18	
2.2	0.517 0.263 0.517	-0.267 -0.171 -0.267	-0.25 -0.0925 -0.25	
2.3	0.462 0.264 0.462	-0.148 -0.108 -0.148	-0.314 -0.156 -0.314	
2.4	0.402 0.263 0.402	-0.0796 -0.0559 -0.0796	-0.323 -0.207 -0.323	
2.5	0.336 0.257 0.336	-0.0381 -0.0184 -0.0381	-0.298 -0.239 -0.298	
2.6	0.261 0.244 0.261	-0.00203 0.0143 -0.00203	-0.259 -0.258 -0.259	
2.7	0.168 0.215 0.168	0.0433 0.055 0.0433	-0.211 -0.27 -0.211	
2.8	0.0504 0.1 0.0504	0.108 0.175 0.108	-0.159 -0.275 -0.159	
2.9	0.0387 0.0205 0.0387	0.0637 0.254 0.0637	-0.102 -0.274 -0.102	
3	0.0346 -0.0243 0.0346	0.00941 0.291 0.00941	-0.044 -0.267 -0.044	
3.1	0.0295 -0.0598 0.0295	-0.0447 0.313 -0.0447	0.0153 -0.254 0.0153	
3.2	0.0232 -0.0907 0.0232	-0.0972 0.325 -0.0972	0.0741 -0.234 0.0741	
3.3	0.0161 -0.119 0.0161	-0.147 0.328 -0.147	0.131 -0.209 0.131	
3.4	0.0086 -0.145 0.0086	-0.193 0.322 -0.193	0.185 -0.178 0.185	
3.5	0.000852 -0.169 0.000852	-0.235 0.31 -0.235	0.234 -0.141 0.234	
3.6	-0.00691 -0.191 -0.00691	-0.27 0.291 -0.27	0.277 -0.1 0.277	
3.7	-0.0145 -0.213 -0.0145	-0.3 0.268 -0.3	0.315 -0.0553 0.315	
3.8	-0.0218 -0.233 -0.0218	-0.324 0.241 -0.324	0.346 -0.00812 0.346	
3.9	-0.0287 -0.251 -0.0287	-0.342 0.211 -0.342	0.371 0.0405 0.371	
